Rank,Date,Promotion,Match,WON Rating,Match Type,Rating,Votes
1,04.01.2017,New Japan Pro Wrestling,Kazuchika Okada vs. Kenny Omega,******,Singles,9.81,1312
2,01.03.2003,Pro Wrestling NOAH,Kenta Kobashi vs. Mitsuharu Misawa,*****,Singles,9.80,785
3,09.04.2017,New Japan Pro Wrestling,Katsuyori Shibata vs. Kazuchika Okada,*****,Singles,9.78,950
4,04.01.2023,New Japan Pro Wrestling,Kenny Omega vs. Will Ospreay,******1/4,Singles,9.76,1327
5,09.06.2018,New Japan Pro Wrestling,Kazuchika Okada vs. Kenny Omega,*******,Best Two Out Of Three Falls,9.76,976
6,09.06.1995,All Japan Pro Wrestling,Akira Taue & Toshiaki Kawada vs. Kenta Kobashi & Mitsuharu Misawa,*****,Tag Team,9.74,430
7,12.08.2018,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kota Ibushi,*****3/4,Singles,9.74,548
8,13.08.2017,New Japan Pro Wrestling,Kenny Omega vs. Tetsuya Naito,*****3/4,Singles,9.74,639
9,13.08.2016,New Japan Pro Wrestling,Kenny Omega vs. Tetsuya Naito,*****,Singles,9.72,680
10,21.04.2024,All Elite Wrestling,Bryan Danielson vs. Will Ospreay,******1/2,Singles,9.71,1281
11,20.01.1997,All Japan Pro Wrestling,Kenta Kobashi vs. Mitsuharu Misawa,*****,Singles,9.70,303
12,03.06.1994,All Japan Pro Wrestling,Mitsuharu Misawa vs. Toshiaki Kawada,*****,Singles,9.70,489
13,11.06.2017,New Japan Pro Wrestling,Kazuchika Okada vs. Kenny Omega,******1/4,Singles,9.69,708
14,04.01.2016,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kazuchika Okada,*****,Singles,9.69,502
15,05.06.2019,New Japan Pro Wrestling,Shingo Takagi vs. Will Ospreay,*****3/4,Singles,9.69,566
16,07.04.2013,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kazuchika Okada,*****,Singles,9.69,406
17,18.07.2005,Pro Wrestling NOAH,Kensuke Sasaki vs. Kenta Kobashi,****3/4,Singles,9.68,434
18,29.02.2020,All Elite Wrestling,Adam Page & Kenny Omega vs. Matt Jackson & Nick Jackson,******,Tag Team,9.68,1027
19,25.08.2024,All Elite Wrestling,Bryan Danielson vs. Swerve Strickland,*****1/4,Singles,9.68,1147
20,29.10.2020,World Wrestling Entertainment,Ilja Dragunov vs. WALTER,*****,Singles,9.68,872
21,11.06.1999,All Japan Pro Wrestling,Kenta Kobashi vs. Mitsuharu Misawa,*****,Singles,9.67,206
22,01.10.2005,Ring Of Honor,Kenta Kobashi vs. Samoa Joe,*****,Singles,9.67,652
23,12.08.2017,New Japan Pro Wrestling,Kazuchika Okada vs. Kenny Omega,******,Singles,9.67,610
24,11.02.2024,New Japan Pro Wrestling,Bryan Danielson vs. Zack Sabre Jr.,*****1/2,Singles,9.66,737
25,27.01.2018,World Wrestling Entertainment,Andrade Almas vs. Johnny Gargano,*****,Singles,9.65,937
26,29.10.2006,Pro Wrestling NOAH,KENTA vs. Naomichi Marufuji,****3/4,Singles,9.65,353
27,25.05.1992,All Japan Pro Wrestling,Danny Kroffat & Doug Furnas vs. Kenta Kobashi & Tsuyoshi Kikuchi,*****,Tag Team,9.65,349
28,14.10.2013,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kazuchika Okada,*****,Singles,9.65,277
29,04.01.2015,New Japan Pro Wrestling,Kota Ibushi vs. Shinsuke Nakamura,*****,Singles,9.64,640
30,04.08.2018,New Japan Pro Wrestling,Kenny Omega vs. Tomohiro Ishii,*****1/2,Singles,9.64,497
31,11.09.2005,Total Nonstop Action Wrestling,AJ Styles vs. Christopher Daniels vs. Samoa Joe,*****,Three Way,9.64,805
